trackID, genre
1zayuwd1YLZsYDArkruHdL,hip hop
1zayuwd1YLZsYDArkruHdL,rap
1zayuwd1YLZsYDArkruHdL,west coast rap
3A2OHirUAlQp2x73BJlEDA,hip hop
3A2OHirUAlQp2x73BJlEDA,rap
3A2OHirUAlQp2x73BJlEDA,west coast rap
23luOrEVHMfoX0AhfbQuS6,hip hop
23luOrEVHMfoX0AhfbQuS6,rap
23luOrEVHMfoX0AhfbQuS6,west coast rap
0y9uTzK9cNKSAEHnpeRG8C,hip hop
0y9uTzK9cNKSAEHnpeRG8C,rap
0y9uTzK9cNKSAEHnpeRG8C,west coast rap
5p3NP9mQblDsVJLdfNZJ3I,hip hop
5p3NP9mQblDsVJLdfNZJ3I,rap
5p3NP9mQblDsVJLdfNZJ3I,west coast rap
2HbKqm4o0w5wEeEFXm2sD4,hip hop
2HbKqm4o0w5wEeEFXm2sD4,rap
2HbKqm4o0w5wEeEFXm2sD4,west coast rap
2MYl0er3UZ1RlKwRb5LODh,hip hop
2MYl0er3UZ1RlKwRb5LODh,rap
2MYl0er3UZ1RlKwRb5LODh,west coast rap
6DB2KOEwHnjkgEnBt5SdeJ,hip hop
6DB2KOEwHnjkgEnBt5SdeJ,rap
6DB2KOEwHnjkgEnBt5SdeJ,west coast rap
6dVZCbi9CYtD9LjAHXRjIG,hip hop
6dVZCbi9CYtD9LjAHXRjIG,rap
6dVZCbi9CYtD9LjAHXRjIG,west coast rap
593W4qZOwwdqF6YnimJjL6,hip hop
593W4qZOwwdqF6YnimJjL6,rap
593W4qZOwwdqF6YnimJjL6,west coast rap
4pYZLpX23Vx8rwDpJCpPTA,hip hop
4pYZLpX23Vx8rwDpJCpPTA,rap
4pYZLpX23Vx8rwDpJCpPTA,west coast rap
6tE4uNiF4gV7Oc1tmIil7j,hip hop
6tE4uNiF4gV7Oc1tmIil7j,rap
6tE4uNiF4gV7Oc1tmIil7j,west coast rap
2svutFGaCycRmYc1mWbfQh,hip hop
2svutFGaCycRmYc1mWbfQh,rap
2svutFGaCycRmYc1mWbfQh,west coast rap
12SJpYZEdj4kzWZ8FPFg4Y,hip hop
12SJpYZEdj4kzWZ8FPFg4Y,rap
12SJpYZEdj4kzWZ8FPFg4Y,west coast rap
5C7vJB00Sfmg8jgUcjQpgQ,hip hop
5C7vJB00Sfmg8jgUcjQpgQ,rap
5C7vJB00Sfmg8jgUcjQpgQ,west coast rap
3PGdPUMdUg7a3Tgr5gkfKK,hip hop
3PGdPUMdUg7a3Tgr5gkfKK,rap
3PGdPUMdUg7a3Tgr5gkfKK,west coast rap
0N3W5peJUQtI4eyR6GJT5O,hip hop
0N3W5peJUQtI4eyR6GJT5O,rap
0N3W5peJUQtI4eyR6GJT5O,west coast rap
1qOLh0tI7trd1zdDKxYZTe,dance pop
1qOLh0tI7trd1zdDKxYZTe,pop
1qOLh0tI7trd1zdDKxYZTe,post-teen pop
007d7JT41sSc1HqWTs4uw7,dance pop
007d7JT41sSc1HqWTs4uw7,pop
007d7JT41sSc1HqWTs4uw7,post-teen pop
77lGafvlU68CeHgB2pkHC9,dance pop
77lGafvlU68CeHgB2pkHC9,pop
77lGafvlU68CeHgB2pkHC9,post-teen pop
2mfUa8bLs2s5N4VaqJZ4lZ,dance pop
2mfUa8bLs2s5N4VaqJZ4lZ,pop
2mfUa8bLs2s5N4VaqJZ4lZ,post-teen pop
5DEp4UmhxN7OLnYQacWZhh,dance pop
5DEp4UmhxN7OLnYQacWZhh,pop
5DEp4UmhxN7OLnYQacWZhh,post-teen pop
0BSd5u6lQJWDoNVMuBYBiA,dance pop
0BSd5u6lQJWDoNVMuBYBiA,pop
0BSd5u6lQJWDoNVMuBYBiA,post-teen pop
1i7iLxK9oQSo2uPxyVldRf,dance pop
1i7iLxK9oQSo2uPxyVldRf,pop
1i7iLxK9oQSo2uPxyVldRf,post-teen pop
6875MeXyCW0wLyT72Eetmo,dance pop
6875MeXyCW0wLyT72Eetmo,pop
6875MeXyCW0wLyT72Eetmo,post-teen pop
5AEtlRudpgdT5FtNiuly6Y,dance pop
5AEtlRudpgdT5FtNiuly6Y,pop
5AEtlRudpgdT5FtNiuly6Y,post-teen pop
5Gu0PDLN4YJeW75PpBSg9p,dance pop
5Gu0PDLN4YJeW75PpBSg9p,pop
5Gu0PDLN4YJeW75PpBSg9p,post-teen pop
10GJQkjRJcZhGTLagFOC62,dance pop
10GJQkjRJcZhGTLagFOC62,pop
10GJQkjRJcZhGTLagFOC62,post-teen pop
4tX7Nt68zEeb0Lt32ngQR0,dance pop
4tX7Nt68zEeb0Lt32ngQR0,pop
4tX7Nt68zEeb0Lt32ngQR0,post-teen pop
0qwa6Mm9oZWLhGitD2Jfnq,dance pop
0qwa6Mm9oZWLhGitD2Jfnq,pop
0qwa6Mm9oZWLhGitD2Jfnq,post-teen pop
4G6eGrUJpmBViXaqLqS1TK,dance pop
4G6eGrUJpmBViXaqLqS1TK,pop
4G6eGrUJpmBViXaqLqS1TK,post-teen pop
1qOLh0tI7trd1zdDKxYZTe,complextro
1qOLh0tI7trd1zdDKxYZTe,dance pop
1qOLh0tI7trd1zdDKxYZTe,edm
1qOLh0tI7trd1zdDKxYZTe,electro house
1qOLh0tI7trd1zdDKxYZTe,german techno
1qOLh0tI7trd1zdDKxYZTe,pop
1qOLh0tI7trd1zdDKxYZTe,tropical house
0dA2Mk56wEzDgegdC6R17g,complextro
0dA2Mk56wEzDgegdC6R17g,dance pop
0dA2Mk56wEzDgegdC6R17g,edm
0dA2Mk56wEzDgegdC6R17g,electro house
0dA2Mk56wEzDgegdC6R17g,german techno
0dA2Mk56wEzDgegdC6R17g,pop
0dA2Mk56wEzDgegdC6R17g,tropical house
1CKd1PnqfYx0H12V9MSaIY,complextro
1CKd1PnqfYx0H12V9MSaIY,dance pop
1CKd1PnqfYx0H12V9MSaIY,edm
1CKd1PnqfYx0H12V9MSaIY,electro house
1CKd1PnqfYx0H12V9MSaIY,german techno
1CKd1PnqfYx0H12V9MSaIY,pop
1CKd1PnqfYx0H12V9MSaIY,tropical house
6875MeXyCW0wLyT72Eetmo,complextro
6875MeXyCW0wLyT72Eetmo,dance pop
6875MeXyCW0wLyT72Eetmo,edm
6875MeXyCW0wLyT72Eetmo,electro house
6875MeXyCW0wLyT72Eetmo,german techno
6875MeXyCW0wLyT72Eetmo,pop
6875MeXyCW0wLyT72Eetmo,tropical house
0I20rLT2MJDhcF96AjbNYo,complextro
0I20rLT2MJDhcF96AjbNYo,dance pop
0I20rLT2MJDhcF96AjbNYo,edm
0I20rLT2MJDhcF96AjbNYo,electro house
0I20rLT2MJDhcF96AjbNYo,german techno
0I20rLT2MJDhcF96AjbNYo,pop
0I20rLT2MJDhcF96AjbNYo,tropical house
1XlrBhlkPAVRficvsd5qQ4,complextro
