Position,TrackName,Artist,Streams,URL,date,Region
46,This Is What You Came For,Calvin Harris,958726,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,1/2/17,global
47,Caroline,Amin�,951699,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,1/2/17,global
48,"How Far I'll Go - From Moana""""",Alessia Cara,908300,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,1/2/17,global
49,Vente Pa' Ca,Ricky Martin,907340,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/2/17,global
50,Otra Vez (feat. J Balvin),Zion & Lennox,878999,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/2/17,global
1,Starboy,The Weeknd,3563076,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/3/17,global
2,Closer,The Chainsmokers,3175128,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/3/17,global
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2892451,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/3/17,global
4,"I Don��t Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack)""""",ZAYN,2710150,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/3/17,global
5,Let Me Love You,DJ Snake,2663869,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/3/17,global
6,Don't Wanna Know,Maroon 5,2565521,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/3/17,global
7,Say You Won't Let Go,James Arthur,2495021,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/3/17,global
8,Fake Love,Drake,2402911,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/3/17,global
9,I Feel It Coming,The Weeknd,2338067,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/3/17,global
10,24K Magic,Bruno Mars,2280795,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/3/17,global
11,Black Beatles,Rae Sremmurd,2178247,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/3/17,global
12,One Dance,Drake,2009154,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/3/17,global
13,Chantaje,Shakira,1990513,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/3/17,global
14,Call On Me - Ryan Riback Extended Remix,Starley,1961999,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,1/3/17,global
15,In the Name of Love,Martin Garrix,1937665,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,1/3/17,global
16,Cold Water (feat. Justin Bieber & M��),Major Lazer,1919477,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,1/3/17,global
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,1841773,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/3/17,global
18,Just Hold On,Steve Aoki,1807536,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,1/3/17,global
19,Side To Side,Ariana Grande,1767049,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,1/3/17,global
20,Starving,Hailee Steinfeld,1712546,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,1/3/17,global
21,Bad Things (with Camila Cabello),Machine Gun Kelly,1689239,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/3/17,global
22,Mercy,Shawn Mendes,1653440,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,1/3/17,global
23,All We Know,The Chainsmokers,1561672,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,1/3/17,global
24,My Way,Calvin Harris,1493736,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/3/17,global
25,Heathens,Twenty One Pilots,1478295,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,1/3/17,global
26,Treat You Better,Shawn Mendes,1467423,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,1/3/17,global
